# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
249.000000 3.44103286e+03 3.87324360e+01 1.09551873e+02
250.000000 3.45501104e+03 3.88381736e+01 1.09850944e+02
251.000000 3.46902178e+03 3.89695325e+01 1.10222483e+02
252.000000 3.48298695e+03 3.90756033e+01 1.10522496e+02
253.000000 3.49703669e+03 3.91597943e+01 1.10760624e+02
254.000000 3.51099644e+03 3.92856411e+01 1.11116573e+02
255.000000 3.52494036e+03 3.93869994e+01 1.11403257e+02
256.000000 3.53897828e+03 3.94826866e+01 1.11673902e+02
257.000000 3.55297916e+03 3.95833339e+01 1.11958575e+02
258.000000 3.56708741e+03 3.96565405e+01 1.12165635e+02
259.000000 3.58113730e+03 3.97699620e+01 1.12486439e+02
260.000000 3.59519765e+03 3.98905780e+01 1.12827593e+02
261.000000 3.60930474e+03 4.00107137e+01 1.13167388e+02
262.000000 3.62333472e+03 4.01159333e+01 1.13464994e+02
263.000000 3.63743195e+03 4.02192454e+01 1.13757205e+02
264.000000 3.65145618e+03 4.03511728e+01 1.14130352e+02
265.000000 3.66554149e+03 4.04576329e+01 1.14431466e+02
266.000000 3.67960375e+03 4.05614852e+01 1.14725205e+02
267.000000 3.69367692e+03 4.06480879e+01 1.14970154e+02
268.000000 3.70774252e+03 4.07528154e+01 1.15266368e+02
269.000000 3.72176529e+03 4.08620319e+01 1.15575280e+02
270.000000 3.73584808e+03 4.09788891e+01 1.15905802e+02
271.000000 3.74989795e+03 4.11059028e+01 1.16265050e+02
272.000000 3.76395431e+03 4.12044649e+01 1.16543826e+02
273.000000 3.77802369e+03 4.13051125e+01 1.16828501e+02
274.000000 3.79203767e+03 4.13925508e+01 1.17075813e+02
275.000000 3.80606483e+03 4.14785224e+01 1.17318978e+02
276.000000 3.82013094e+03 4.15865584e+01 1.17624550e+02
277.000000 3.83418642e+03 4.16490440e+01 1.17801286e+02
278.000000 3.84817456e+03 4.17669696e+01 1.18134830e+02
279.000000 3.86218485e+03 4.18636126e+01 1.18408178e+02
280.000000 3.87618500e+03 4.19369107e+01 1.18615496e+02
281.000000 3.89016668e+03 4.20418116e+01 1.18912200e+02
282.000000 3.90408113e+03 4.21366936e+01 1.19180567e+02
283.000000 3.91806992e+03 4.22384171e+01 1.19468285e+02
284.000000 3.93198065e+03 4.23613038e+01 1.19815861e+02
285.000000 3.94598656e+03 4.24468039e+01 1.20057692e+02
286.000000 3.95985841e+03 4.25430137e+01 1.20329814e+02
287.000000 3.97377812e+03 4.26188301e+01 1.20544255e+02
288.000000 3.98765804e+03 4.27250205e+01 1.20844607e+02
289.000000 4.00152408e+03 4.28019801e+01 1.21062282e+02
290.000000 4.01550240e+03 4.28857862e+01 1.21299321e+02
291.000000 4.02938491e+03 4.29862706e+01 1.21583534e+02
